product_name,product_image,product_rating,no_of_review,min_price,max_price,price,currency
"Gaming Chair, Cadcah Ergonomic Computer Chair Reclining High Back Office Chair Height Adjustment Desk Chair with Armrests Headrest and Lumbar Support PC Gaming chair for Adults Teens Men Women (White)",https://m.media-amazon.com/images/I/61Xmi+ffusL._AC_UL320_.jpg,4.3,7300.0,139.99,139.99,139.99,USD
"Ferghana Pink Gaming Chair with Footrest,Computer Game Chair,Massage Gaming Chairs,Christmas,Xmas Gift,PC Gaming Chairs for Adults Teens for Gaming Live Streaming Room(Shero Pink)",https://m.media-amazon.com/images/I/61oc7G2rDqL._AC_UL320_.jpg,4.2,2633.0,162.89,162.89,162.89,USD
"AKRacing Masters Series Max Gaming Chair with Wide Flat Seat, 400 Lbs Weight Limit, Rocker and Seat Height Adjustment Mechanisms - Black/Blue",https://m.media-amazon.com/images/I/61+dNjR9KML._AC_UL320_.jpg,4.5,33.0,548.98,548.98,548.98,USD
Darkecho Gaming Chair with Footrest Massage Racing Office Computer Ergonomic Chair Leather Reclining Video Game Chair Adjustable Armrest High Back Esports Chair with Headrest and Lumbar Support Red,https://m.media-amazon.com/images/I/61GL+L-bkOL._AC_UL320_.jpg,4.1,1379.0,189.99,189.99,189.99,USD
"Dowinx Gaming Chair Ergonomic Racing Style Recliner with Massage Lumbar Support,4D armrests Game Chair for Computer PU Leather with Retractable Footrest Grey",https://m.media-amazon.com/images/I/61fbSWmUwxL._AC_UL320_.jpg,4.3,1102.0,,,,USD
noblechairs ICON Gaming Chair - Office Chair - Desk Chair - PU Faux Leather - Black/Gold,https://m.media-amazon.com/images/I/71W7c5QJ6+L._AC_UL320_.jpg,4.4,729.0,,,,USD
Bowthy Massage Gaming Chair for Adults Computer Ergonomic Game Chair Heavy Duty Big and Tall Gamer Chair Racing Style Headrest and Lumbar Support (White),https://m.media-amazon.com/images/I/61asbaReepL._AC_UL320_.jpg,4.2,872.0,,,,USD
"KBEST Massage Gaming Chair - High Back Racing PC Computer Desk Office Chair Swivel Ergonomic Executive Leather Chair with Adjustable Back Angle, Armrests and Footrest (Gray)",https://m.media-amazon.com/images/I/61oEesTZcuL._AC_UL320_.jpg,4.3,715.0,,,,USD
SITMOD Gaming Chair Home Office Desk Chairs Comfortable Office Chair Fabric Ergonomic Chair Racing PC Gaming Chair with Footrest Lumbar Support Massage Reclining High Back Computer Chairs for Adults,https://m.media-amazon.com/images/I/51KcvrC981L._AC_UL320_.jpg,4.4,11.0,159.99,159.99,159.99,USD
Gaming Chair - Racing Office Computer Ergonomic Video Game Chair with Headrest and Lumbar Pillow,https://m.media-amazon.com/images/I/61NKy4ntbOL._AC_UL320_.jpg,4.3,161.0,134.0,134.0,134.0,USD
"Ferghana Green Gaming Chair with Footrest, Ergonomic Gamer Chair,Office Computer Gaming Chairs,E-Sports Racing Game Chair with Lumbar Pillow and headrest",https://m.media-amazon.com/images/I/61unF2Ju0zL._AC_UL320_.jpg,4.2,59.0,159.9,159.9,159.9,USD
TUOFU Ergonomic Leather Gaming Chair for Adults Adjustable Reclining Office Chair with Lumbar Support Padded Headrest Armrest High Back Executive Chair Video Game Racing Chair,https://m.media-amazon.com/images/I/71e-6Pl2jlL._AC_UL320_.jpg,4.0,39.0,229.95,229.95,229.95,USD
Amazon Basics Racing/Gaming Style Office Chair - White,https://m.media-amazon.com/images/I/81cnznhP4YL._AC_UL320_.jpg,4.4,484.0,92.24,92.24,92.24,USD
"AutoFull Gaming Chair Racing Style Ergonomic High Back Computer Chair with Height Adjustment, Footrest，Headrest and Lumbar Support E-Sports Swivel Chair，red",https://m.media-amazon.com/images/I/61JD0q92PrL._AC_UL320_.jpg,4.4,2137.0,269.99,269.99,269.99,USD
"KCREAM Gaming Chair,Ergonomic Racing Office Computer Chair Adjustable Headrest and Lumbar Pillows Leather High-Back Swivel Task Chair with Footrest (8515-grey)",https://m.media-amazon.com/images/I/71pbNaNAXMS._AC_UL320_.jpg,4.3,292.0,209.99,209.99,209.99,USD
"DualThunder Gaming Chairs, Gaming Chairs for Adults Teens Gamer, Ergonomic Video Game Chairs High Back Computer Chairs, Racing Reclining Office Chairs Adjustable Headrest and Lumbar Support, Red",https://m.media-amazon.com/images/I/618Cjo2I7HL._AC_UL320_.jpg,4.3,158.0,97.99,97.99,97.99,USD
