product_name,product_image,product_rating,no_of_review,min_price,max_price,price,currency
"Dell Inspiron 7610 16 Inch Business and Student Laptop - 3K (3072x1920) Display, Intel Core i7-11800H, 16GB DDR4 RAM, 512GB SSD, NVIDIA GeForce RTX 3050 4GB GDDR6, Windows 11 Pro - Mist Blue",https://m.media-amazon.com/images/I/61mE1Le8ceL._AC_UL640_QL65_.jpg,4.0,15.0,1699.0,1699.0,1699.0,USD
"Dell XPS 17 9710, 17 inch FHD+ Laptop - Intel Core i7-11800H,16GB DDR4 RAM, 1TB SSD, NVIDIA GeForce RTX 3050 4GB GDDR6, Windows 11  Home + 1  Year Premium Support  - Platinum Silver",https://m.media-amazon.com/images/I/71c3q3CQItL._AC_UL640_QL65_.jpg,3.8,38.0,,,,USD
"2022 Lenovo Legion Gaming Laptop, 17.3"" FHD IPS Diaplay, AMD Ryzen 5 5600H 6-Core Processor (Beats i7-10850H), GeForce GTX 1650 Graphics, 16GB RAM, 1TB SSD, Backlit Keyboard, Wi-Fi 6, Windows 11",https://m.media-amazon.com/images/I/71jx6w2AscL._AC_UY218_.jpg,4.0,5.0,899.99,899.99,899.99,USD
"MSI GF65 15.6"" 144hz Gaming Laptop - Intel Core i5-10500H NVIDIA GeForce RTX3060 Laptop GPU, Backlit Keyboard, Wi-Fi 6 Windows10. (8GB RAM|512GB PCIe SSD)",https://m.media-amazon.com/images/I/71EHB8+2j9L._AC_UY218_.jpg,4.0,7.0,924.66,924.66,924.66,USD
"2021 Lenovo Legion 5 Gen 6 Gaming Laptop, AMD Ryzen 7 5800H, 17.3"" FHD IPS 144Hz Display, NVIDIA GeForce RTX 3070(TGP 130W), Dolby Vision, Type-C, Win 10 Free Upto 11 (32GB RAM | 1TB PCIe SSD)",https://m.media-amazon.com/images/I/61r8Y641Z5L._AC_UY218_.jpg,,,1799.9,1799.9,1799.9,USD
"Lenovo Legion 5 Gaming Laptop, 15.6"" FHD, 120 HZ, Intel Core i7-10750H Processor, 8GB DDR4, 512GB SSD, NVIDIA GTX 1650Ti, Windows 10, 82AU00CGUS",https://m.media-amazon.com/images/I/71wPCIj9tEL._AC_UY218_.jpg,4.5,63.0,919.0,919.0,919.0,USD
"Lenovo Legion 5 Pro Gen 6 AMD Gaming Laptop, 16.0"" QHD IPS 165Hz, Ryzen 7 5800H, GeForce RTX 3070 8GB, TGP 140W, Win 10 Home (32GB RAM | 2TB PCIE SSD)",https://m.media-amazon.com/images/I/51q-Nda9-VL._AC_UY218_.jpg,4.4,7.0,1989.99,1989.99,1989.99,USD
"Lenovo Legion 5 Gaming Laptop, 15.6"" FHD Display, AMD Ryzen 7 5800H, 16GB RAM, 512GB Storage, NVIDIA GeForce RTX 3050Ti, Windows 10H, Phantom Blue",https://m.media-amazon.com/images/I/71fzx0pGY5L._AC_UY218_.jpg,4.6,1201.0,1099.0,1099.0,1099.0,USD
"Lenovo Legion 5 Gaming Laptop, 15.6"" FHD IPS Display, AMD Ryzen 5 4600H, Webcam, Backlit Keyboard, Wi-Fi 6, USB-C, HDMI, GeForce GTX 1650 Ti, Windows 10 Home, 8GB Memory, 256GB PCIe SSD + 1TB HDD",https://m.media-amazon.com/images/I/41VG3dvLDzL._AC_UY218_.jpg,4.6,62.0,789.0,789.0,789.0,USD
"Lenovo Legion 5 15.6"" Gaming Laptop 165Hz AMD Ryzen 5800H 16GB RAM 2TB SSD RTX 3070 8GB GDDR6 - AMD Ryzen 7 5800H Octa-core - NVIDIA GeForce RTX 3070 8GB GDDR6 - in-Plane Switching (IPS) Technolo",https://m.media-amazon.com/images/I/51WZCMh-yCL._AC_UY218_.jpg,,,1576.83,1576.83,1576.83,USD
